"","carat","cut","color","clarity","depth","table","price","x","y","z"
"1",0.61,"Good","E","I1",63.4,57.1,1168,5.37,5.43,3.42
"2",0.53,"Premium","G","SI2",60.8,58,1173,5.21,5.19,3.16
"3",0.23,"Very Good","E","VVS2",62.3,55,505,3.9,3.93,2.44
"4",1.33,"Ideal","J","VS1",61.3,57,6118,7.11,7.08,4.35
"5",0.3,"Ideal","E","VVS1",61.6,56,838,4.3,4.34,2.66
"6",0.3,"Ideal","D","VS2",60.8,57,911,4.34,4.31,2.63
"7",2.01,"Good","H","I1",63.9,59,7024,8.01,7.92,5.09
"8",1.12,"Ideal","H","VS2",61.8,55,6110,6.64,6.7,4.12
"9",1.02,"Ideal","G","VVS2",62.1,57,8401,6.43,6.45,4
"10",0.74,"Ideal","F","VS1",62.3,56,3226,5.76,5.79,3.6
"11",0.74,"Very Good","E","SI2",63.1,57,2617,5.8,5.76,3.65
"12",0.9,"Good","G","SI2",63.8,56,3303,6.13,6.16,3.92
"13",0.34,"Premium","E","SI2",59.9,59,612,4.57,4.55,2.73
"14",0.36,"Very Good","F","VS1",59.9,58.6,825,4.62,4.66,2.77
"15",0.71,"Good","I","VS1",64.2,56,2161,5.62,5.66,3.62
"16",1.12,"Ideal","G","VS2",62,56,6774,6.69,6.64,4.13
"17",0.76,"Ideal","H","SI1",61.8,56,2587,5.88,5.84,3.62
"18",0.61,"Ideal","F","SI2",62.3,57,1303,5.38,5.44,3.37
"19",0.4,"Ideal","F","VVS2",62.4,56,1163,4.74,4.72,2.95
"20",0.3,"Very Good","I","IF",63.3,57,810,4.3,4.23,2.7
"21",0.42,"Premium","F","SI1",60,59,773,4.85,4.88,2.92
"22",0.7,"Good","G","SI1",63.9,58,2218,5.57,5.51,3.54
"23",1.51,"Ideal","H","SI2",62.1,57,8710,7.38,7.34,4.57
"24",0.32,"Ideal","H","IF",61.1,56,814,4.45,4.48,2.73
"25",0.3,"Ideal","D","VVS2",61.7,55,814,4.33,4.36,2.68
"26",0.51,"Ideal","F","VVS2",62.2,57,2083,5.12,5.17,3.2
"27",0.65,"Ideal","G","VVS1",61.9,56,3248,5.56,5.59,3.45
"28",0.79,"Premium","E","VS2",60.6,53,2876,6.04,5.98,3.64
"29",0.3,"Ideal","H","VS1",61.3,56,526,4.31,4.33,2.65
"30",0.38,"Ideal","F","SI2",60.6,56,827,4.73,4.7,2.86
"31",0.44,"Premium","G","VS1",62.3,59,965,4.82,4.87,3.02
"32",0.31,"Good","E","SI1",63.9,56,544,4.27,4.31,2.74
"33",0.44,"Very Good","D","SI1",62.9,58,849,4.82,4.85,3.04
"34",0.77,"Ideal","F","VS1",60.9,58,3655,5.91,5.95,3.61
"35",0.51,"Premium","G","VS2",62.6,57,1443,5.15,5.1,3.21
"36",0.34,"Premium","F","VS1",60.4,58,745,4.51,4.53,2.73
"37",0.4,"Very Good","F","VS1",63.4,54,909,4.68,4.72,2.98
"38",0.31,"Premium","G","VS1",62.1,58,625,4.31,4.36,2.69
"39",0.71,"Ideal","E","VVS2",61.7,56,4447,5.78,5.8,3.57
"40",0.35,"Ideal","D","VS2",62.3,55,829,4.52,4.54,2.82
"41",0.71,"Ideal","F","VS1",61.7,55,3041,5.73,5.77,3.55
"42",0.37,"Very Good","H","VS2",61.2,54,537,4.62,4.7,2.85
"43",0.4,"Premium","G","VS2",61.9,58,966,4.76,4.74,2.94
"44",0.3,"Ideal","F","VS2",62.5,53.3,601,4.28,4.31,2.69
"45",1.1,"Premium","F","VS2",60.5,57,9486,6.7,6.69,4.05
"46",1.04,"Ideal","F","SI1",62.1,56,4426,6.54,6.47,4.04
"47",0.9,"Premium","D","SI2",62.7,59,3205,6.2,6.14,3.87
"48",1,"Good","F","SI2",62.7,57,4081,6.29,6.34,3.96
"49",0.92,"Ideal","H","SI1",60.5,57,4325,6.27,6.32,3.81
"50",1.19,"Good","D","VS1",63.8,55,7437,6.68,6.64,4.25
"51",0.78,"Premium","G","SI2",60.6,58,2486,6.02,5.99,3.64
"52",1.23,"Premium","H","VS1",61.1,58,7577,6.91,6.86,4.21
"53",0.37,"Ideal","E","VS2",61.2,57,811,4.58,4.64,2.82
"54",1.01,"Very Good","E","VVS2",62.8,56,9089,6.34,6.39,4
"55",0.51,"Very Good","G","SI1",61.4,54,1237,5.2,5.22,3.2
"56",2.01,"Very Good","G","SI1",63.1,59,18741,8.03,7.98,5.05
"57",0.38,"Ideal","I","VVS2",61.7,56,737,4.67,4.7,2.89
"58",0.35,"Premium","D","VS2",60.4,58,1063,4.58,4.53,2.75
"59",0.3,"Ideal","E","VVS2",62.3,57,766,4.29,4.32,2.68
"60",0.44,"Premium","H","VVS1",60.1,58,1196,4.96,4.92,2.97
"61",0.41,"Ideal","E","SI1",62.6,57,969,4.73,4.72,2.96
"62",0.51,"Ideal","I","SI1",61.7,54,1000,5.18,5.19,3.2
"63",1.03,"Very Good","G","VS2",62.3,57,6036,6.43,6.51,4.03
"64",0.44,"Very Good","H","SI1",63.5,57,941,4.85,4.82,3.07
"65",0.41,"Ideal","E","VS1",60.5,58,997,4.81,4.85,2.92
"66",1.25,"Ideal","H","SI2",62.2,55.4,5932,6.89,6.94,4.29
"67",0.52,"Ideal","H","SI1",61.7,55,1245,5.17,5.21,3.2
"68",0.72,"Premium","F","VVS1",62.8,58,3689,5.75,5.68,3.59
"69",1.51,"Ideal","I","VS2",59.9,56,9471,7.49,7.42,4.47
"70",0.28,"Very Good","E","VS1",59.5,59,487,4.29,4.35,2.57
"71",0.3,"Very Good","E","VS2",62.6,58,658,4.25,4.28,2.67
"72",0.62,"Ideal","E","SI1",60.7,56,2156,5.54,5.57,3.37
"73",0.51,"Premium","F","SI2",62.3,62,956,5.09,5.02,3.15
"74",1.06,"Very Good","G","IF",61.2,57,8415,6.52,6.56,4
"75",1.5,"Very Good","H","VS1",63.4,59,10652,7.13,7.2,4.54
"76",1,"Good","H","SI2",63.2,60,3740,6.27,6.3,3.97
"77",0.7,"Ideal","E","VS1",61.3,54,2978,5.77,5.83,3.54
"78",0.4,"Ideal","G","IF",62,56,1229,4.73,4.76,2.94
"79",0.75,"Ideal","J","VS2",61.5,54,2001,5.87,5.9,3.62
"80",0.71,"Premium","D","SI1",60.9,59,2743,5.72,5.71,3.48
"81",0.71,"Very Good","J","VS2",59,61,1922,5.81,5.85,3.44
"82",0.41,"Ideal","G","IF",61.7,56,1259,4.78,4.81,2.96
"83",0.31,"Ideal","E","VS2",61,56,872,4.41,4.38,2.68
"84",0.7,"Ideal","H","SI1",61.4,57,2240,5.64,5.76,3.5
"85",0.32,"Very Good","F","SI1",59.3,58,533,4.47,4.5,2.66
"86",1.54,"Very Good","F","VS1",63.3,58,16082,7.34,7.3,4.63
"87",0.31,"Very Good","G","VVS2",62.3,59,617,4.29,4.32,2.68
"88",0.76,"Ideal","G","SI2",62.1,54,2143,5.88,5.84,3.64
"89",0.53,"Ideal","E","VS2",62.4,56,1721,5.16,5.2,3.23
"90",0.32,"Very Good","E","SI1",62.2,57,561,4.38,4.43,2.74
